SectionNr	Nr	Name	Zweck	Stolpersteine	Hinweis_Forschende	Hinweis_Leitung
1	1	Themenidee	Die Frage entsteht und wird so weit geschärft, dass sie prüfbar ist.	Die Idee bleibt ein Themengebiet statt einer Frage. „Etwas mit Wundheilung“ ist kein Vorhaben.	Schreiben Sie die Frage auf, nicht nur das Thema. Eine gute Frage nennt Population, Einflussgröße und Zielgröße.	Auf die Formulierung achten: Enthält der Satz eine Zielgröße? Wenn nicht, ist es noch ein Thema.
1	2	Machbarkeit	Prüfung, ob die Frage mit den erreichbaren Daten, Personen und Zeit beantwortbar ist.	Der Datenzugang wird als geklärt angenommen, weil jemand mündlich zugestimmt hat. Und die eigene verfügbare Zeit wird um den Faktor zwei bis drei überschätzt.	Rechnen Sie grob, wie viele Fälle Sie brauchen und wie viele Sie realistisch bekommen. Wenn die zweite Zahl kleiner ist, ist jetzt der richtige Zeitpunkt, den Zuschnitt zu ändern.	Fragen Sie nach der geschätzten Fallzahl und danach, wie die Schätzung zustande kam. Und klären Sie, wie viele Stunden pro Woche tatsächlich zur Verfügung stehen.
1	3	Literatur und Forschungslücke	Systematischer Überblick über den Stand und Benennung dessen, was offen ist.	Es wird gesucht, bis genug passende Arbeiten gefunden sind — statt zu suchen, bis klar ist, was fehlt. Die Suche wird nicht dokumentiert und lässt sich später nicht wiederholen.	Notieren Sie Suchbegriffe, Datenbank, Datum und Trefferzahl. Das kostet fünf Minuten und spart im Methodenteil eine Stunde.	Verlangen Sie die Forschungslücke in zwei Sätzen. Wer sie nicht benennen kann, hat den Stand noch nicht überblickt.
2	1	Vorgehensplan / Protokoll	Das Verfahren wird schriftlich festgelegt: Ein- und Ausschluss, Variablen, Zielgrößen, Auswertungsplan.	Das Protokoll entsteht nachträglich als Formalie statt vorab als Denkwerkzeug. Dann fehlen Variablen, die man später gebraucht hätte.	Schreiben Sie den Auswertungsplan vor der Erhebung — er zwingt Sie, jede Variable zu begründen. Was Sie nicht auswerten wollen, müssen Sie auch nicht erheben.	Lesen Sie das Protokoll vollständig. Prüfen Sie besonders, ob zu jeder erhobenen Variablen eine Auswertungsabsicht existiert.
2	2	Ethik und Datenschutz	Die erforderlichen Freigaben werden eingeholt und dokumentiert.	Zu spät begonnen. Die Bearbeitung dauert typischerweise zwei bis drei Monate, Rückfragen verlängern um eine weitere Runde. Häufig fehlt außerdem die Datenschutzseite, weil nur an die Ethikkommission gedacht wurde.	Früher losschicken, als es sich richtig anfühlt. Und die Protokollversion notieren, auf die sich das Votum bezieht — bei späteren Änderungen ist das die entscheidende Angabe.	Vor der Einreichung gemeinsam durchsehen. Erfahrungsgemäß spart das eine komplette Rückfragenrunde und damit sechs bis acht Wochen.
2	3	Datensetup	Erhebungsinstrument, Variablendefinitionen und Ablage werden eingerichtet und getestet.	Es wird ohne Testlauf begonnen. Die ersten Fälle werden dann anders erfasst als die späteren, und die Bereinigung wird teuer.	Erfassen Sie drei Fälle zur Probe und schauen Sie sich das Ergebnis an. Fast immer findet sich dabei eine unklare Definition.	Fragen Sie, ob ein Probelauf stattgefunden hat. Das ist eine der wenigen Fragen, die in zwei Minuten viel Ärger verhindern.
3	1	Material zusammentragen	Die eigentliche Erhebung: Fälle, Messungen, Dokumente oder Literaturdaten.	Kein fester Rhythmus. Erhebung, die nur in Lücken passiert, kommt nicht voran. Und Abweichungen vom Protokoll werden nicht notiert, sondern nur gemacht.	Feste Zeitfenster einplanen, lieber zwei Stunden wöchentlich als ein Tag im Monat. Und jede Abweichung sofort notieren — nach vier Wochen erinnert sie niemand mehr.	Nach der Fallzahl fragen, nicht nach dem Gefühl. Bei erkennbarem Rückstand über den Zuschnitt sprechen, nicht über mehr Anstrengung.
3	2	Laufende Qualitätskontrolle	Stichproben, Plausibilitätsprüfungen und Nachfragen während der Erhebung statt danach.	Wird auf das Ende verschoben. Fehler, die früh auffallen, sind korrigierbar; dieselben Fehler nach acht Monaten sind Datenverlust.	Nach den ersten zehn bis zwanzig Fällen einmal gründlich prüfen, danach in größeren Abständen. Das ist der wirksamste Einzelschritt im ganzen Abschnitt.	Nach den ersten zwanzig Fällen selbst einen Blick hineinwerfen. Das ist der beste Zeitpunkt für Betreuung im ganzen Projekt.
4	1	Bereinigen und Datenstand festhalten	Der Datensatz wird geprüft, korrigiert und zu einem definierten Zeitpunkt eingefroren.	Kein festgehaltener Stand. Dann zeigen zwei Auswertungen unterschiedliche Zahlen, und niemand kann sagen, warum. Zweiter Fehler: Korrekturen ohne Protokoll.	Geben Sie dem festgehaltenen Stand einen Namen mit Datum und legen Sie eine Kopie ab, die nicht mehr angefasst wird. Spätere Korrekturen erzeugen einen zweiten Stand, nicht eine Änderung am ersten.	Vor jeder Ergebnisbesprechung nach dem Datenstand fragen. Ohne ihn sind alle Zahlen vorläufig.
4	2	Analyse	Die im Protokoll geplanten Auswertungen werden gerechnet und dokumentiert.	Rechnen, bis etwas signifikant wird. Und: zusätzliche Auswertungen werden später als geplante dargestellt — das ist in der Begutachtung ein häufiger Kritikpunkt.	Trennen Sie geplante von zusätzlichen Auswertungen und schreiben Sie beides auf. Explorative Ergebnisse sind wertvoll, solange sie als solche benannt sind.	Vergleichen Sie die gerechneten Analysen mit dem Protokoll. Abweichungen sind zulässig — sie gehören nur benannt.
