SectionNr	StepNr	Nr	Punkt	Erklaerung
1	1	1	Fragestellung in einem Satz formuliert	Ein Satz mit Population, Einflussgröße und Zielgröße. Wenn Sie zwei Sätze brauchen, sind es wahrscheinlich zwei Fragen.
1	1	2	Zielgröße benannt und messbar	Woran genau würden Sie erkennen, dass die Antwort ja oder nein lautet? Ohne das lässt sich später nicht auswerten.
1	1	3	Relevanz in drei Sätzen beschrieben	Warum sollte das jemanden interessieren, der nicht in Ihrer Abteilung arbeitet? Diese drei Sätze werden später die Einleitung.
1	1	4	Betreuung ist einverstanden	Ein kurzes ausdrückliches Ja, bevor Zeit investiert wird. Stillschweigen ist keine Zustimmung.
1	2	1	Datenquelle benannt und zugänglich	Nicht nur welche Quelle, sondern auch: Wer muss zustimmen, und liegt die Zustimmung schriftlich vor?
1	2	2	Grobe Fallzahl geschätzt	Eine Zahl, kein Gefühl. Auch eine ungenaue Schätzung ist besser als keine — sie lässt sich korrigieren.
1	2	3	Benötigte Fallzahl überschlagen	Reicht die erreichbare Zahl für das, was Sie zeigen wollen? Wenn nicht, ist jetzt der billigste Zeitpunkt, den Zuschnitt zu ändern.
1	2	4	Zeitbudget realistisch eingeschätzt	Wie viele Stunden pro Woche stehen tatsächlich zur Verfügung? Die ehrliche Zahl ist meist die Hälfte der ersten Schätzung.
1	2	5	Statistische Auswertung ist besetzt	Wer wird rechnen? Diese Frage jetzt zu klären ist deutlich einfacher, als sie in Monat 16 zu klären.
1	3	1	Systematische Suche in mindestens einer Datenbank	Nicht nur, was Sie ohnehin kennen. Eine strukturierte Suche findet regelmäßig die eine Arbeit, die alles ändert.
1	3	2	Suche dokumentiert	Suchbegriffe, Datenbank, Datum, Trefferzahl. Fünf Minuten Aufwand, die im Methodenteil eine Stunde sparen.
1	3	3	Übersichtstabelle der wichtigsten Arbeiten	Studie, Design, Fallzahl, Ergebnis, Einschränkung. Diese Tabelle ist später die halbe Diskussion.
1	3	4	Forschungslücke in zwei Sätzen benannt	Was ist offen, und warum ist das offen geblieben? Wer das nicht sagen kann, hat den Stand noch nicht überblickt.
2	1	1	Ein- und Ausschlusskriterien festgelegt	Präzise genug, dass zwei Personen unabhängig zur gleichen Entscheidung kämen.
2	1	2	Variablenliste steht	Jede Variable mit Definition und Einheit. Was nicht auf der Liste steht, wird nicht erhoben.
2	1	3	Zu jeder Variablen gibt es eine Auswertungsabsicht	Der wirksamste Filter gegen aufgeblähte Erhebungsbögen: Was Sie nicht auswerten wollen, brauchen Sie nicht.
2	1	4	Auswertungsplan geschrieben	Welche Verfahren für welche Frage. Vor der Erhebung geschrieben, ist er ein Denkwerkzeug; danach ist er eine Rechtfertigung.
2	1	5	Protokoll mit Versionsnummer abgelegt	Ab hier zählt die Version. Spätere Änderungen erzeugen eine neue Nummer, nicht eine stille Überschreibung.
2	2	1	Geklärt, ob Ethikvotum erforderlich ist	Im Zweifel bei der Kommission nachfragen. Eine Antwort auf diese Frage dauert Tage, ein nachgeholtes Verfahren Monate.
2	2	2	Datenschutzrechtliche Seite geprüft	Ethik und Datenschutz sind zwei Vorgänge. Der zweite wird häufiger vergessen.
2	2	3	Antragsunterlagen vollständig	Die Vollständigkeitsliste der Kommission abarbeiten. Unvollständige Anträge kosten eine komplette Runde.
2	2	4	Antrag eingereicht, Datum notiert	Ab jetzt läuft eine Wartezeit von typischerweise zwei bis drei Monaten, die sich nicht verkürzen lässt.
2	2	5	Votum liegt vor, Bezug zur Protokollversion notiert	Welche Version wurde genehmigt? Bei späteren Änderungen ist das die entscheidende Angabe.
2	3	1	Erhebungsinstrument erstellt	Bogen, Maske oder Tabelle — mit den Variablen aus dem Protokoll, in derselben Reihenfolge.
